Order_ID,Order_Date,Customer_Name,Email,Phone,City,State,Product,Category,Qty,Unit_Price,Discount,Payment_Mode,Order_Status,Delivery_Date,Total_Amount,Discount_Amount,Final_Amount,Order_Year,Order_Month,Order_Month_Name,Order_Day,Order_Day_Name,Is_Weekend,Delivery_Days,High_Value_Order,Quantity_Category
ORD1002,2025-06-30,Neha,neha82@gmail.com,9829008196.0,Delhi,Delhi,Chair,Furniture,4.0,1999.0,0.0,Upi,Pending,,7996.0,0.0,7996.0,2025,6,June,30,Monday,False,,True,Medium
ORD1003,2025-02-03,Rohit,rohit45@gmail.com,9280491167.0,Pune,Maharashtra,Watch,Fashion,5.0,4999.0,20.0,Card,Pending,,24995.0,4999.0,19996.0,2025,2,February,3,Monday,False,,True,High
ORD1004,2025-05-06,Amit,amit6@gmail.com,9943310925.0,Jaipur,Rajasthan,Mouse,Electronics,3.0,1999.0,5.0,Cod,Returned,,5997.0,299.85,5697.15,2025,5,May,6,Tuesday,False,,True,Medium
ORD1005,2025-01-20,Vikas,vikas51@gmail.com,9495120474.0,Bengaluru,Karnataka,Laptop,Electronics,3.0,1999.0,15.0,Wallet,Pending,,5997.0,899.55,5097.45,2025,1,January,20,Monday,False,,True,Medium
ORD1006,2025-04-02,Rohit,rohit71@gmail.com,9237331620.0,Pune,Maharashtra,Bottle,Home,3.0,1999.0,0.0,Wallet,Cancelled,,5997.0,0.0,5997.0,2025,4,April,2,Wednesday,False,,True,Medium
ORD1007,2025-02-10,Rahul,rahul82@gmail.com,9517780193.0,Mumbai,Maharashtra,Mouse,Electronics,3.0,499.0,20.0,Wallet,Cancelled,,1497.0,299.4,1197.6,2025,2,February,10,Monday,False,,False,Medium
ORD1008,2025-02-17,Rahul,rahul71@gmail.com,9789375429.0,Lucknow,Up,Mouse,Electronics,4.0,9999.0,0.0,Card,Returned,,39996.0,0.0,39996.0,2025,2,February,17,Monday,False,,True,Medium
ORD1010,2025-04-10,Rohit,rohit96@gmail.com,9700116928.0,Jaipur,Rajasthan,Mouse,Electronics,1.0,1999.0,0.0,Netbanking,Delivered,,1999.0,0.0,1999.0,2025,4,April,10,Thursday,False,,False,Low
ORD1011,2025-01-11,Neha,neha22@gmail.com,9580304152.0,Jaipur,Rajasthan,Chair,Furniture,3.0,999.0,0.0,Cod,Pending,,2997.0,0.0,2997.0,2025,1,January,11,Saturday,True,,False,Medium
ORD1012,2025-03-03,Vikas,vikas46@gmail.com,9551158398.0,Jaipur,Rajasthan,Shoes,Fashion,3.0,999.0,5.0,Cod,Cancelled,,2997.0,149.85,2847.15,2025,3,March,3,Monday,False,,False,Medium
ORD1013,2025-04-30,Rohit,rohit96@gmail.com,9899011969.0,Mumbai,Maharashtra,Shoes,Fashion,3.0,4999.0,10.0,Cod,Cancelled,,14997.0,1499.7,13497.3,2025,4,April,30,Wednesday,False,,True,Medium
ORD1014,2025-02-25,Neha,neha76@gmail.com,9768913402.0,Jaipur,Rajasthan,Shoes,Fashion,3.0,1999.0,0.0,Netbanking,Returned,,5997.0,0.0,5997.0,2025,2,February,25,Tuesday,False,,True,Medium
ORD1015,2025-03-17,Rohit,rohit6@gmail.com,9643353842.0,Lucknow,Up,Bottle,Home,5.0,1999.0,5.0,Card,Returned,,9995.0,499.75,9495.25,2025,3,March,17,Monday,False,,True,High
ORD1016,2025-03-31,Sneha,sneha86@gmail.com,9125254427.0,Pune,Maharashtra,Laptop,Electronics,3.0,4999.0,20.0,Netbanking,Pending,,14997.0,2999.4,11997.6,2025,3,March,31,Monday,False,,True,Medium
ORD1017,2025-01-12,Vikas,vikas12@gmail.com,9498228945.0,Jaipur,Rajasthan,Watch,Fashion,1.0,4999.0,10.0,Netbanking,Pending,,4999.0,499.9,4499.1,2025,1,January,12,Sunday,True,,False,Low
ORD1019,2025-03-06,Vikas,vikas20@gmail.com,9524467082.0,Bengaluru,Karnataka,Chair,Furniture,3.0,1499.0,0.0,Cod,Returned,,4497.0,0.0,4497.0,2025,3,March,6,Thursday,False,,False,Medium
ORD1020,2025-03-15,Rahul,rahul90@gmail.com,9106119129.0,Pune,Maharashtra,Watch,Fashion,3.0,999.0,0.0,Upi,Returned,,2997.0,0.0,2997.0,2025,3,March,15,Saturday,True,,False,Medium
ORD1021,2025-01-27,Priya,priya82@gmail.com,9583849937.0,Pune,Maharashtra,Chair,Furniture,3.0,1999.0,5.0,Upi,Cancelled,,5997.0,299.85,5697.15,2025,1,January,27,Monday,False,,True,Medium
ORD1022,2025-06-13,Vikas,vikas18@gmail.com,Unknown,Pune,Maharashtra,Shoes,Fashion,3.0,1499.0,0.0,Netbanking,Cancelled,,4497.0,0.0,4497.0,2025,6,June,13,Friday,False,,False,Medium
ORD1023,2025-04-27,Neha,neha70@gmail.com,9133995118.0,Mumbai,Maharashtra,Shoes,Fashion,1.0,499.0,5.0,Cod,Pending,,499.0,24.95,474.05,2025,4,April,27,Sunday,True,,False,Low
ORD1024,2025-06-29,Rohit,rohit60@gmail.com,9633404088.0,Bengaluru,Karnataka,Mouse,Electronics,3.0,1999.0,15.0,Card,Cancelled,,5997.0,899.55,5097.45,2025,6,June,29,Sunday,True,,True,Medium
ORD1025,2025-01-12,Rahul,rahul54@gmail.com,9850537744.0,Delhi,Delhi,Bottle,Home,3.0,9999.0,10.0,Cod,Pending,,29997.0,2999.7,26997.3,2025,1,January,12,Sunday,True,,True,Medium
ORD1026,2025-04-05,Sneha,sneha71@gmail.com,9967773139.0,Bengaluru,Karnataka,Bottle,Home,4.0,9999.0,10.0,Wallet,Returned,,39996.0,3999.6,35996.4,2025,4,April,5,Saturday,True,,True,Medium
ORD1028,2025-06-05,Amit,amit15@gmail.com,9853264878.0,Lucknow,Up,Watch,Fashion,3.0,4999.0,0.0,Netbanking,Cancelled,,14997.0,0.0,14997.0,2025,6,June,5,Thursday,False,,True,Medium
ORD1029,2025-02-06,Rahul,rahul82@gmail.com,9689560222.0,Pune,Maharashtra,Bottle,Home,5.0,1499.0,0.0,Cod,Delivered,,7495.0,0.0,7495.0,2025,2,February,6,Thursday,False,,True,High
ORD1030,2025-04-25,Rahul,rahul52@gmail.com,9882683944.0,Mumbai,Maharashtra,Shoes,Fashion,1.0,9999.0,20.0,Upi,Delivered,,9999.0,1999.8,7999.2,2025,4,April,25,Friday,False,,True,Low
ORD1031,2025-03-20,Sneha,sneha76gmail.com,9946815525.0,Mumbai,Maharashtra,Shoes,Fashion,5.0,499.0,20.0,Card,Delivered,,2495.0,499.0,1996.0,2025,3,March,20,Thursday,False,,False,High
ORD1032,2025-04-12,Neha,neha79@gmail.com,9312273373.0,Pune,Maharashtra,Bottle,Home,1.0,499.0,20.0,Upi,Delivered,,499.0,99.8,399.2,2025,4,April,12,Saturday,True,,False,Low
ORD1033,2025-02-18,Amit,amit13@gmail.com,9183234274.0,Bengaluru,Karnataka,Shoes,Fashion,3.0,499.0,10.0,Card,Pending,,1497.0,149.7,1347.3,2025,2,February,18,Tuesday,False,,False,Medium
ORD1034,2025-05-13,Amit,amit55@gmail.com,9798448836.0,Pune,Maharashtra,Bottle,Home,4.0,4999.0,0.0,Netbanking,Pending,,19996.0,0.0,19996.0,2025,5,May,13,Tuesday,False,,True,Medium
ORD1035,2025-03-11,Priya,priya6@gmail.com,9411511306.0,Mumbai,Maharashtra,Shoes,Fashion,3.0,999.0,0.0,Wallet,Cancelled,,2997.0,0.0,2997.0,2025,3,March,11,Tuesday,False,,False,Medium
ORD1037,2025-03-18,Sneha,sneha78@gmail.com,9420497333.0,Bengaluru,Karnataka,Laptop,Electronics,3.0,4999.0,0.0,Card,Delivered,,14997.0,0.0,14997.0,2025,3,March,18,Tuesday,False,,True,Medium
ORD1038,2025-01-15,Neha,neha50@gmail.com,9764950042.0,Mumbai,Maharashtra,Laptop,Electronics,3.0,2599.0,5.0,Wallet,Delivered,,7797.0,389.85,7407.15,2025,1,January,15,Wednesday,False,,True,Medium
ORD1039,2025-03-20,Rahul,rahul33@gmail.com,9193291098.0,Jaipur,Rajasthan,Laptop,Electronics,1.0,2599.0,15.0,Wallet,Returned,,2599.0,389.85,2209.15,2025,3,March,20,Thursday,False,,False,Low
ORD1041,2025-06-25,Rahul,rahul11@gmail.com,9940596133.0,Bengaluru,Karnataka,Bottle,Home,5.0,9999.0,0.0,Upi,Returned,,49995.0,0.0,49995.0,2025,6,June,25,Wednesday,False,,True,High
ORD1042,2025-01-13,Rahul,rahul66@gmail.com,9792040786.0,Mumbai,Maharashtra,Bottle,Home,4.0,1999.0,15.0,Netbanking,Delivered,,7996.0,1199.4,6796.6,2025,1,January,13,Monday,False,,True,Medium
ORD1043,2025-04-16,Rahul,rahul61@gmail.com,9157741059.0,Delhi,Delhi,Laptop,Electronics,2.0,2599.0,5.0,Cod,Pending,,5198.0,259.9,4938.1,2025,4,April,16,Wednesday,False,,False,Low
ORD1044,2025-06-09,Rahul,rahul93@gmail.com,Unknown,Lucknow,Up,Bottle,Home,3.0,4999.0,0.0,Netbanking,Delivered,,14997.0,0.0,14997.0,2025,6,June,9,Monday,False,,True,Medium
ORD1046,2025-02-08,Rahul,rahul60@gmail.com,9674821417.0,Pune,Maharashtra,Shoes,Fashion,3.0,499.0,0.0,Card,Pending,,1497.0,0.0,1497.0,2025,2,February,8,Saturday,True,,False,Medium
ORD1047,2025-03-17,Rohit,rohit24@gmail.com,9603990367.0,Jaipur,Rajasthan,Shoes,Fashion,1.0,999.0,20.0,Netbanking,Cancelled,,999.0,199.8,799.2,2025,3,March,17,Monday,False,,False,Low
ORD1048,2025-02-25,Sneha,sneha28@gmail.com,9177495407.0,Bengaluru,Karnataka,Shoes,Fashion,3.0,1999.0,0.0,Wallet,Cancelled,,5997.0,0.0,5997.0,2025,2,February,25,Tuesday,False,,True,Medium
ORD1049,2025-04-15,Amit,amit42@gmail.com,9533399379.0,Lucknow,Up,Watch,Fashion,5.0,2599.0,0.0,Cod,Returned,,12995.0,0.0,12995.0,2025,4,April,15,Tuesday,False,,True,High
ORD1050,2025-02-15,Priya,priya65@gmail.com,9841250922.0,Mumbai,Maharashtra,Chair,Furniture,3.0,1999.0,15.0,Card,Returned,,5997.0,899.55,5097.45,2025,2,February,15,Saturday,True,,True,Medium
ORD1051,2025-05-24,Sneha,sneha52@gmail.com,9643197286.0,Lucknow,Up,Laptop,Electronics,3.0,499.0,10.0,Wallet,Pending,,1497.0,149.7,1347.3,2025,5,May,24,Saturday,True,,False,Medium
ORD1052,2025-02-25,Sneha,sneha63@gmail.com,9276376917.0,Pune,Maharashtra,Mouse,Electronics,5.0,9999.0,0.0,Upi,Returned,,49995.0,0.0,49995.0,2025,2,February,25,Tuesday,False,,True,High
ORD1053,2025-05-23,Sneha,sneha39@gmail.com,9432994066.0,Mumbai,Maharashtra,Laptop,Electronics,1.0,1999.0,0.0,Cod,Delivered,,1999.0,0.0,1999.0,2025,5,May,23,Friday,False,,False,Low
ORD1055,2025-03-19,Priya,priya20@gmail.com,9224364160.0,Pune,Maharashtra,Mouse,Electronics,3.0,999.0,0.0,Upi,Cancelled,,2997.0,0.0,2997.0,2025,3,March,19,Wednesday,False,,False,Medium
